group1,group2,meandiff,p-adj,lower,upper,reject,test_variable
0,1,-1.498,0.0,-1.6587,-1.3372,True,log_net
0,2,1.6519,0.0,1.5045,1.7993,True,log_net
0,3,-11.9851,0.0,-12.8353,-11.135,True,log_net
1,2,3.1499,0.0,2.972,3.3277,True,log_net
1,3,-10.4872,0.0,-11.3431,-9.6312,True,log_net
2,3,-13.637,0.0,-14.4906,-12.7835,True,log_net
0,1,-0.0027,0.9634,-0.0169,0.0116,False,return_rate
0,2,0.0082,0.3716,-0.0049,0.0212,False,return_rate
0,3,2.1156,0.0,2.0404,2.1909,True,return_rate
1,2,0.0108,0.2877,-0.0049,0.0266,False,return_rate
1,3,2.1183,0.0,2.0425,2.1941,True,return_rate
2,3,2.1075,0.0,2.0319,2.183,True,return_rate
