BasketID,year_block,EventID,UserID,basket_time,basket_gross,basket_return,basket_net,n_items,n_distinct_products,n_lines,month,weekday,hour
Y1_612890,Y1,612890,25430,2019-12-01 07:45:00,106341.0,0.0,106341.0,326,8,8,12,6,7
Y1_612891,Y1,612891,25430,2019-12-01 07:46:00,33075.6,0.0,33075.6,140,4,4,12,6,7
Y1_612892,Y1,612892,25423,2019-12-01 09:06:00,154245.36,0.0,154245.36,493,19,19,12,6,9
Y1_612893,Y1,612893,27707,2019-12-01 09:08:00,112372.0,0.0,112372.0,445,23,23,12,6,9
Y1_612894,Y1,612894,30447,2019-12-01 09:24:00,294014.78,0.0,294014.78,1166,17,17,12,6,9
Y1_612895,Y1,612895,25027,2019-12-01 09:28:00,113767.05,0.0,113767.05,509,19,19,12,6,9
Y1_612896,Y1,612896,30432,2019-12-01 09:43:00,10411.2,0.0,10411.2,36,2,2,12,6,9
Y1_612897,Y1,612897,30432,2019-12-01 09:44:00,50041.68,0.0,50041.68,172,4,4,12,6,9
Y1_612898,Y1,612898,25980,2019-12-01 09:46:00,96824.04,0.0,96824.04,655,23,23,12,6,9
Y1_612899,Y1,612899,26455,2019-12-01 09:50:00,52909.32,0.0,52909.32,240,7,7,12,6,9
Y1_612900,Y1,612900,24981,2019-12-01 09:55:00,135158.65,0.0,135158.65,11,1,1,12,6,9
Y1_612901,Y1,612901,29864,2019-12-01 09:57:00,89269.48,0.0,89269.48,610,19,19,12,6,9
Y1_612902,Y1,612902,26103,2019-12-01 10:06:00,227966.0,0.0,227966.0,892,27,27,12,6,10
Y1_612903,Y1,612903,24707,2019-12-01 10:10:00,124631.65,0.0,124631.65,11,1,1,12,6,10
Y1_612904,Y1,612904,27758,2019-12-01 10:18:00,74402.88,0.0,74402.88,272,4,4,12,6,10
Y1_612906,Y1,612906,28666,2019-12-01 10:36:00,49036.2,0.0,49036.2,250,9,9,12,6,10
Y1_612916,Y1,612916,28512,2019-12-01 10:46:00,109844.08,0.0,109844.08,1177,15,15,12,6,10
Y1_612917,Y1,612917,30210,2019-12-01 10:49:00,139756.66,0.0,139756.66,789,26,26,12,6,10
Y1_612918,Y1,612918,29937,2019-12-01 10:49:00,60355.799999999996,0.0,60355.799999999996,168,13,13,12,6,10
Y1_612921,Y1,612921,26112,2019-12-01 10:52:00,234472.3,0.0,234472.3,718,19,19,12,6,10
Y1_612944,Y1,612944,29583,2019-12-01 10:59:00,121074.7,0.0,121074.7,380,29,30,12,6,10
Y1_612961,Y1,612961,28057,2019-12-01 11:17:00,71671.6,0.0,71671.6,194,10,10,12,6,11
Y1_612970,Y1,612970,27656,2019-12-01 11:21:00,181014.63999999998,0.0,181014.63999999998,716,32,32,12,6,11
Y1_612973,Y1,612973,28674,2019-12-01 11:34:00,120599.51999999999,0.0,120599.51999999999,578,28,38,12,6,11
Y1_612975,Y1,612975,30045,2019-12-01 11:37:00,209773.16,0.0,209773.16,707,38,38,12,6,11
Y1_612976,Y1,612976,27256,2019-12-01 11:41:00,187413.36,0.0,187413.36,723,30,30,12,6,11
Y1_612978,Y1,612978,28343,2019-12-01 11:45:00,325176.02,0.0,325176.02,1509,104,104,12,6,11
Y1_612979,Y1,612979,25276,2019-12-01 11:46:00,115866.00000000001,0.0,115866.00000000001,820,1,1,12,6,11
Y1_612982,Y1,612982,24878,2019-12-01 11:50:00,237753.53999999998,0.0,237753.53999999998,1114,44,44,12,6,11
Y1_612985,Y1,612985,30329,2019-12-01 11:51:00,139755.82,0.0,139755.82,812,45,50,12,6,11
Y1_612987,Y1,612987,27216,2019-12-01 11:57:00,58489.1,0.0,58489.1,204,14,14,12,6,11
