decile,pred_mean,obs_rate,count,gap
0,0.15060065852106533,0.1893939393939394,132,0.038793280872874064
1,0.28251164950759217,0.3282442748091603,131,0.04573262530156813
2,0.4265959093640346,0.3712121212121212,132,0.05538378815191336
3,0.5206050188039362,0.4580152671755725,131,0.06258975162836367
4,0.5741824747893601,0.5757575757575758,132,0.0015751009682156702
5,0.6326031259485777,0.6412213740458015,131,0.00861824809722378
6,0.6929044084539064,0.6870229007633588,131,0.005881507690547627
7,0.7735396047582892,0.8106060606060606,132,0.03706645584777135
8,0.8654252095411977,0.9236641221374046,131,0.05823891259620684
9,0.9617340897229709,0.9545454545454546,132,0.007188635177516334
