ProductID,product_name,gross,returns,net
102345A,RASPBERRY ANT COPPER FLOWER NECKLAC,76367.59999999999,0.0,76367.59999999999
102345B,MIDNIGHT BLUE COPPER FLOWER NECKLAC,50015.399999999994,0.0,50015.399999999994
102345C,OPAL WHITE/SILVER FLOWER NECKLACE,5915.799999999999,0.0,5915.799999999999
102345D,COPPER/OLIVE GREEN FLOWER NECKLACE,77443.2,0.0,77443.2
102346A,ANTIQUE RASPBERRY FLOWER EARRINGS,13086.599999999999,0.0,13086.599999999999
102346B,ANTIQUE MID BLUE FLOWER EARRINGS,18090.299999999996,0.0,18090.299999999996
102346C,ANTIQUE OPAL WHITE FLOWER EARRINGS,21554.399999999998,0.0,21554.399999999998
102346D,ANTIQUE OLIVE GREEN FLOWER EARRINGS,28867.499999999996,0.0,28867.499999999996
102347A,FLOWER BURST SILVER RING OPAL,71352.59999999999,0.0,71352.59999999999
102347B,FLOWER BURST SILVER RING ROSE,30043.199999999997,0.0,30043.199999999997
102347C,FLOWER BURST SILVER RING MIDN'T BLU,46088.99999999999,2731.2,43357.799999999996
102347D,FLOWER BURST SILVER RING CRYSTAL,107909.99999999999,2731.2,105178.79999999999
102347E,FLOWER BURST SILVER RING GREEN,32432.999999999996,5803.799999999999,26629.199999999997
102348B,ROSE COLOUR PAIR HEART HAIR SLIDES,42333.6,4438.199999999999,37895.399999999994
102348C,MIDNIGHT BLUE PAIR HEART HAIR SLIDE,42674.99999999999,4438.199999999999,38236.799999999996
102348D,CRYSTAL PAIR HEART HAIR SLIDES,49844.399999999994,4438.199999999999,45406.2
102348E,GREEN PAIR HEART HAIR SLIDES,17752.799999999996,2048.3999999999996,15704.399999999998
102349A,JADE GREEN PAIR ENAMEL HAIR SLIDES,3755.3999999999996,0.0,3755.3999999999996
102350A,JADE GREEN ENAMEL HAIR COMB,21436.800000000003,0.0,21436.800000000003
102355A,MIDNIGHT BLUE GLASS/SILVER BRACELET,121580.34999999999,3195.2,118385.15
102355B,BLACK/WHITE GLASS/SILVER BRACELET,179729.99999999997,7189.2,172540.8
102355E,AMBER GLASS/SILVER BRACELET,153532.34999999998,4792.799999999999,148739.55
102356A,MIDNIGHT BLUE CRYSTAL DROP EARRINGS,5979.6,0.0,5979.6
102356B,BLACK CRYSTAL DROP EARRINGS,8969.400000000001,0.0,8969.400000000001
102356C,GREEN CRYSTAL DROP EARRINGS,4348.8,0.0,4348.8
102356E,AMBER CRYSTAL DROP EARRINGS,2989.8,0.0,2989.8
102357A,MIDNIGHT BLUE DROP CRYSTAL NECKLACE,7610.400000000001,0.0,7610.400000000001
102357B,BLACK DROP CRYSTAL NECKLACE,18441.4,0.0,18441.4
102358A,MIDNIGHT BLUE VINTAGE EARRINGS,48137.399999999994,682.8,47454.59999999999
102358B,BLACK VINTAGE EARRINGS,23897.999999999996,0.0,23897.999999999996
102358C,GREEN VINTAGE EARRINGS ,37553.99999999999,0.0,37553.99999999999
102358D,PURPLE VINTAGE EARRINGS,42333.6,0.0,42333.6
102359A,SILVER/MOP ORBIT NECKLACE,186350.4,0.0,186350.4
102359B,GOLD M PEARL  ORBIT NECKLACE,119582.99999999999,0.0,119582.99999999999
