year_block,UserID,first_time,last_time,purchase_baskets,gross_total,return_total,net_total,avg_basket_gross,avg_basket_net,n_events,recency_days,return_rate_value
Y1,24691,2019-12-14 08:34:00,2020-10-04 16:33:00,11,223363.52,287605.82,-64242.30000000003,14890.901333333333,-4282.820000000002,15,66,1.2876132145481949
Y1,24692,2020-10-31 14:20:00,2020-12-07 14:57:00,2,333170.74,0.0,333170.74,166585.37,166585.37,2,2,0.0
Y1,24693,2020-09-27 14:59:00,2020-09-27 14:59:00,1,55055.97,0.0,55055.97,55055.97,55055.97,1,73,0.0
Y1,24694,2019-12-04 12:49:00,2020-10-28 08:23:00,3,1102907.53,19636.199999999997,1083271.33,275726.8825,270817.8325,4,42,0.017804031132147586
Y1,24696,2020-11-29 15:23:00,2020-11-29 15:23:00,1,86863.96,0.0,86863.96,86863.96,86863.96,1,10,0.0
Y1,24697,2020-11-12 10:20:00,2020-11-29 10:07:00,2,101580.8,0.0,101580.8,50790.4,50790.4,2,10,0.0
Y1,24698,2020-10-27 12:44:00,2020-10-27 12:44:00,1,81129.12,0.0,81129.12,81129.12,81129.12,1,43,0.0
Y1,24700,2020-05-21 11:59:00,2020-05-21 11:59:00,1,115576.92,0.0,115576.92,115576.92,115576.92,1,202,0.0
Y1,24701,2020-10-11 09:42:00,2020-11-24 12:24:00,3,685380.35,0.0,685380.35,228460.11666666667,228460.11666666667,3,15,0.0
Y1,24702,2020-11-16 10:05:00,2020-11-16 14:29:00,2,2664611.58,0.0,2664611.58,1332305.79,1332305.79,2,23,0.0
Y1,24703,2019-12-08 07:59:00,2020-11-29 10:56:00,3,552726.22,0.0,552726.22,184242.07333333333,184242.07333333333,3,10,0.0
Y1,24704,2019-12-05 13:32:00,2020-10-10 11:16:00,6,784026.3200000001,14417.7,769608.62,98003.29000000001,96201.0775,8,60,0.018389306114111065
Y1,24705,2020-02-22 09:32:00,2020-11-25 11:04:00,5,438145.61,31501.350000000002,406644.26,73024.26833333333,67774.04333333333,6,14,0.07189698876590365
Y1,24706,2020-01-26 14:37:00,2020-09-03 15:19:00,3,116108.55,0.0,116108.55,38702.85,38702.85,3,97,0.0
Y1,24707,2019-12-01 10:10:00,2019-12-01 10:10:00,1,124631.65,0.0,124631.65,124631.65,124631.65,1,374,0.0
Y1,24711,2020-03-16 10:28:00,2020-03-16 10:28:00,1,57736.08,0.0,57736.08,57736.08,57736.08,1,268,0.0
Y1,24713,2020-03-21 15:56:00,2020-03-21 15:56:00,1,191871.9,0.0,191871.9,191871.9,191871.9,1,263,0.0
Y1,24714,2020-03-08 08:09:00,2020-10-22 13:13:00,3,501918.9,0.0,501918.9,167306.30000000002,167306.30000000002,3,48,0.0
Y1,24715,2020-02-09 09:41:00,2020-03-25 12:10:00,3,287306.64,0.0,287306.64,95768.88,95768.88,3,259,0.0
Y1,24716,2020-03-04 18:23:00,2020-10-26 13:37:00,3,645704.5900000001,0.0,645704.5900000001,215234.86333333337,215234.86333333337,3,44,0.0
Y1,24718,2020-02-04 12:08:00,2020-03-25 13:49:00,2,246338.2,0.0,246338.2,123169.1,123169.1,2,259,0.0
Y1,24719,2020-04-30 14:01:00,2020-10-14 13:31:00,3,444563.53,0.0,444563.53,148187.84333333335,148187.84333333335,3,56,0.0
Y1,24721,2020-10-18 08:42:00,2020-11-15 12:15:00,2,151757.05,0.0,151757.05,75878.525,75878.525,2,24,0.0
Y1,24722,2020-04-29 15:34:00,2020-11-23 19:24:00,2,432253.85,0.0,432253.85,216126.925,216126.925,2,16,0.0
Y1,24723,2020-05-26 14:07:00,2020-05-26 14:07:00,1,500913.35,0.0,500913.35,500913.35,500913.35,1,197,0.0
Y1,24724,2020-06-23 12:49:00,2020-10-13 14:46:00,2,219400.46,0.0,219400.46,109700.23,109700.23,2,57,0.0
Y1,24725,2020-02-15 12:05:00,2020-11-23 12:06:00,7,2959473.43,1194297.6,1765175.83,295947.343,176517.583,10,16,0.40355070868130755
Y1,24727,2020-01-26 16:25:00,2020-01-26 16:25:00,0,0.0,14572.89,-14572.89,0.0,-14572.89,1,318,0.0
Y1,24730,2020-11-25 15:14:00,2020-11-25 15:19:00,1,483657.6,11926.35,471731.25,241828.8,235865.625,2,14,0.024658663484250016
Y1,24731,2020-12-08 09:53:00,2020-12-08 09:53:00,1,57627.8,0.0,57627.8,57627.8,57627.8,1,1,0.0
Y1,24732,2020-10-20 16:27:00,2020-10-20 16:27:00,1,45698.28,0.0,45698.28,45698.28,45698.28,1,50,0.0
Y1,24733,2020-05-06 12:54:00,2020-09-20 12:41:00,2,264625.2,0.0,264625.2,132312.6,132312.6,2,80,0.0
Y1,24734,2020-02-22 10:15:00,2020-11-02 11:52:00,3,320908.20999999996,0.0,320908.20999999996,106969.40333333332,106969.40333333332,3,37,0.0
Y1,24736,2020-02-15 10:12:00,2020-09-01 12:38:00,5,994506.51,15743.1,978763.41,165751.085,163127.23500000002,6,99,0.015830062288883357
Y1,24737,2020-04-27 14:04:00,2020-04-27 14:04:00,1,60052.2,0.0,60052.2,60052.2,60052.2,1,226,0.0
Y1,24738,2020-10-07 13:49:00,2020-11-22 16:10:00,2,218842.2,14788.2,204054.0,72947.40000000001,68018.0,3,17,0.0675747182216227
Y1,24740,2020-04-16 10:16:00,2020-12-03 16:35:00,4,535306.9299999999,0.0,535306.9299999999,133826.73249999998,133826.73249999998,4,6,0.0
Y1,24741,2020-02-03 13:22:00,2020-02-03 13:22:00,1,270268.76,0.0,270268.76,270268.76,270268.76,1,310,0.0
Y1,24744,2020-03-05 08:45:00,2020-11-19 08:53:00,3,226013.55,0.0,226013.55,75337.84999999999,75337.84999999999,3,20,0.0
Y1,24745,2020-10-21 13:45:00,2020-10-21 13:45:00,1,53111.4,0.0,53111.4,53111.4,53111.4,1,49,0.0
Y1,24747,2020-02-07 12:41:00,2020-11-12 09:50:00,5,335312.6,10164.6,325148.0,55885.43333333333,54191.333333333336,6,27,0.0303138027023142
Y1,24748,2020-07-06 11:39:00,2020-07-06 11:39:00,1,89061.72,0.0,89061.72,89061.72,89061.72,1,156,0.0
Y1,24749,2020-01-26 16:25:00,2020-01-26 16:25:00,1,60742.329999999994,0.0,60742.329999999994,60742.329999999994,60742.329999999994,1,318,0.0
Y1,24751,2020-01-11 14:04:00,2020-11-16 11:55:00,3,553969.72,9599.800000000001,544369.92,138492.43,136092.48,4,23,0.017329106002400278
