metric,baseline_y2,shock,delta,delta_pct
rows,323055.0,42153.0,-280902.0,-86.95175744068348
users,4068.0,1423.0,-2645.0,-65.0196656833825
baskets,17691.0,2282.0,-15409.0,-87.10078571024815
gross,1779029496.42,219914331.12,-1559115165.3000002,-87.63852248866358
returns,138640104.24,10595030.2,-128045074.04,-92.35788932929614
net,1640389392.18,209319300.92000002,-1431070091.26,-87.23965773505616
return_pct_of_gross,7.793018863317898,4.817798888340133,-2.9752199749777652,-38.17801582621934
erpu_mean,403242.23013274337,147097.18968376672,-256145.04044897665,-63.521382759106416
erpu_median,185273.015,95005.10999999999,-90267.90500000003,-48.72156098933243
top10_user_share,0.5203166901339867,0.42181288529978905,-0.09850380483419768,-18.93150973281906
top1_user_share,0.20261858836961355,0.1286749889361325,-0.07394359943348106,-36.49398607920135
gini_coefficient,0.6357436947844802,0.5565753621066875,-0.07916833267779277,-12.452869501856588
top1_basket_share,0.15177031593647453,0.08841021897485134,-0.06336009696162319,-41.74735788791755
