decile,pred_mean,obs_rate,count,gap
0,0.03213023734927649,0.03787878787878788,132,0.005748550529511391
1,0.06167321598032473,0.061068702290076333,131,0.0006045136902483941
2,0.10639263327099696,0.09848484848484848,132,0.00790778478614848
3,0.14456600740260053,0.09923664122137404,131,0.04532936618122649
4,0.16890198095914277,0.12878787878787878,132,0.04011410217126399
5,0.1907110564864098,0.10687022900763359,131,0.0838408274787762
6,0.2125589292925938,0.1984732824427481,131,0.014085646849845701
7,0.24839288417033897,0.29545454545454547,132,0.047061661284206496
8,0.3240026694244934,0.4198473282442748,131,0.09584465881978138
9,0.6000590111763391,0.6742424242424242,132,0.07418341306608511
