customerid,frequency,gross_total,first_date,last_date,n_events,return_total,n_baskets_ret,net_total,return_rate_value,recency,tenure,avg_basket,test_baskets,test_net,test_active,test_return_total,test_gross,test_return_rate,pred_purchase_prob_raw,pred_purchase_prob,pred_frequency,user_avg_month,user_avg_weekday,user_avg_hour,user_avg_n_items,user_avg_n_distinct,user_avg_n_lines,user_n_pos_baskets,pred_basket_value,pred_return_rate,E_gross,E_return,pred_erpu,actual_erpu,return_risk_score,return_risk_decile,is_top_return_decile,concentration_penalty,opt_score
30186,124,17544203.12,2019-12-02 15:41:00,2020-12-09 17:27:00,5109,16556.999999999996,4,17527646.12,0.0009437305237948017,0,374,141351.98483870967,23,3037845.87,1,0.0,3037845.87,0.0,1.0,1.0,36.48000000000002,6.495934959349594,3.154471544715447,13.08130081300813,560.7235772357724,40.10569105691057,41.53658536585366,123,251055.1133741059,0.0055425818038562285,9158490.535887387,50761.68299499891,9107728.852892388,3037845.87,0.0009437305237948017,9,1,1.0,1.0
26991,84,31991467.06,2019-12-02 16:52:00,2020-11-30 16:28:00,1786,223803.06,4,31767664.0,0.006995711061960908,9,364,378186.4761904762,9,2454685.15,1,0.0,2454685.15,0.0,0.9999996270807617,1.0,36.48000000000002,7.2560975609756095,2.451219512195122,12.597560975609756,2457.0853658536585,21.853658536585368,21.890243902439025,82,158205.48213098416,0.0055425818038562285,5771335.988138305,31988.101831795975,5739347.886306509,2454685.15,0.006995711061960908,9,1,1.0,0.6301623575984957
26951,135,12317080.61,2019-12-03 12:40:00,2020-12-08 12:08:00,3926,712.8,1,12316367.809999999,5.787085613625776e-05,1,371,91232.35414814814,13,865828.7,1,0.0,865828.7,0.0,1.0,1.0,36.48000000000002,6.8,3.066666666666667,13.125925925925927,371.7925925925926,28.28148148148148,29.08888888888889,135,152346.75414085135,0.0055425818038562285,5557609.59105826,30803.505792336367,5526806.085265923,865828.7,5.787085613625776e-05,8,0,1.0,0.6068259359204295
28894,27,5371220.1,2019-12-03 17:59:00,2020-11-07 16:29:00,2274,0.0,0,5371220.1,0.0,32,340,198934.07777777777,1,475071.59,1,0.0,475071.59,0.0,0.999995739943814,0.98298445044324,10.655854783139183,7.962962962962963,3.2962962962962963,16.11111111111111,1034.7407407407406,75.29629629629629,84.22222222222223,27,518791.1586212248,0.0055425818038562285,5434098.513322325,30118.935540302504,5403979.577782023,475071.59,0.0,6,0,1.0,0.5933399714755291
27384,55,6461209.78,2019-12-10 11:39:00,2020-12-06 11:26:00,1301,6091.38,1,6455118.4,0.0009427615272383247,3,362,117365.7890909091,5,1012675.38,1,0.0,1012675.38,0.0,0.9999989584352929,1.0,36.48000000000002,7.4,3.2181818181818183,11.181818181818182,447.1454545454545,22.963636363636365,23.654545454545456,55,132214.39570418347,0.0055425818038562285,4823181.155288615,26732.87610800494,4796448.279180611,1012675.38,0.0009427615272383247,9,1,1.0,0.5266349445237797
25426,24,6918477.88,2019-12-08 13:58:00,2020-12-03 17:21:00,1363,14217.54,3,6904260.34,0.002055009822478467,6,362,287677.51416666666,1,1419689.93,1,0.0,1419689.93,0.0,0.9997069474896756,0.9696969696969697,9.409805438882074,7.083333333333333,2.5833333333333335,13.541666666666666,1895.5416666666667,56.916666666666664,56.916666666666664,24,518791.1586212248,0.0055425818038562285,4733792.839794361,26237.434057069127,4707555.405737292,1419689.93,0.002055009822478467,9,1,1.0,0.5168747864339736
26501,133,47025193.26,2019-12-01 12:30:00,2020-12-03 11:48:00,2693,162807.75999999995,9,46862385.5,0.0034621390942477107,6,368,352348.7631578947,8,3794757.04,1,0.0,3794757.04,0.0,0.999999999948677,1.0,36.48000000000002,6.7272727272727275,2.6363636363636362,12.446969696969697,1136.4621212121212,20.431818181818183,20.46212121212121,132,128513.65412589791,0.0055425818038562285,4688178.102512758,25984.610644224435,4662193.491868534,3794757.04,0.0034621390942477107,9,1,1.0,0.5118941908759106
27256,268,54008046.96,2019-12-01 11:41:00,2020-12-09 12:17:00,5670,384970.14,8,53623076.82,0.007128014465791007,0,375,200086.10753731342,21,3808562.31,1,0.0,3808562.31,0.0,1.0,1.0,36.48000000000002,7.264150943396227,2.6490566037735848,12.49056603773585,585.3849056603774,21.39245283018868,21.4,265,125548.14569015462,0.0055425818038562285,4579996.3547768425,25385.00445771398,4554611.3503191285,3808562.31,0.007128014465791007,9,1,1.0,0.5000820098934651
25909,50,5576854.46,2019-12-02 11:55:00,2020-12-06 17:26:00,1231,619.5,2,5576234.96,0.0001110841253691243,3,371,111524.6992,0,0.0,0,0.0,0.0,0.0,0.9999972244592341,1.0,36.48000000000002,7.04,3.38,13.38,502.16,23.56,24.66,50,121751.3384835774,0.0055425818038562285,4441488.827880906,24617.31515944344,4416871.512721462,0.0,0.0001110841253691243,8,0,1.0,0.48495860867869095
26643,38,7545761.88,2019-12-11 13:49:00,2020-11-29 13:35:00,1227,4445.34,1,7541316.54,0.0005891174503905761,10,354,198455.69842105263,4,444609.64,1,0.0,444609.64,0.0,0.9999559413870707,0.9696969696969697,18.666584434099896,6.842105263157895,1.4473684210526316,11.736842105263158,1718.657894736842,32.28947368421053,32.28947368421053,38,226079.18310282545,0.0055425818038562285,4092243.5492666396,22681.594633113305,4069561.9546335265,444609.64,0.0005891174503905761,8,0,1.0,0.4468251108882249
27350,42,4146179.46,2019-12-01 13:20:00,2020-12-08 14:36:00,1388,0.0,0,4146179.46,0.0,1,374,98718.55857142857,2,50168.64,1,0.0,50168.64,0.0,0.9999953176437123,0.9696969696969697,26.314329583710922,6.761904761904762,2.5,13.619047619047619,460.42857142857144,31.38095238095238,33.04761904761905,42,157723.33860235751,0.0055425818038562285,4024614.705479439,22306.75623412253,4002307.9492453164,50168.64,0.0,3,0,1.0,0.4394408324940727
27025,64,6585447.6,2019-12-04 12:36:00,2020-12-03 12:05:00,1133,10615.1,4,6574832.5,0.0016119025835085229,6,365,102731.7578125,3,767562.72,1,0.0,767562.72,0.0,0.9999996085371179,1.0,36.48000000000002,5.370967741935484,2.274193548387097,12.064516129032258,480.16129032258067,18.0,18.258064516129032,62,106523.02839681233,0.0055425818038562285,3885960.0759157157,21538.251607282215,3864421.8243084336,767562.72,0.0016119025835085229,9,1,1.0,0.4243013693892731
29722,71,5434983.83,2019-12-02 12:39:00,2020-12-09 10:42:00,1376,3798.25,1,5431185.58,0.0006988521251957432,0,373,76495.57154929578,1,49702.94,1,0.0,49702.94,0.0,0.9999999692163971,1.0,36.48000000000002,6.774647887323944,2.2253521126760565,11.746478873239436,296.4788732394366,18.788732394366196,19.380281690140844,71,106511.31582373471,0.0055425818038562285,3885532.801249844,21535.883402493906,3863996.9178473502,49702.94,0.0006988521251957432,8,0,1.0,0.42425471599544173
29793,53,4272704.92,2020-03-04 17:29:00,2020-07-30 14:07:00,1133,0.0,0,4272704.92,0.0,132,148,80617.07396226416,1,3357395.64,1,0.0,3357395.64,0.0,0.999996026916783,0.9937211531801696,30.864251730487254,3.943396226415094,3.5660377358490565,12.20754716981132,542.9811320754717,21.32075471698113,21.37735849056604,53,125765.96961439289,0.0055425818038562285,3857300.1179907066,21379.401445987773,3835920.716544719,3357395.64,0.0,7,0,1.0,0.42117203734348396
26872,108,10594242.02,2019-12-02 12:06:00,2020-12-09 12:32:00,1826,0.0,0,10594242.02,0.0,0,374,98094.83351851851,9,778745.23,1,0.0,778745.23,0.0,0.9999999999796112,1.0,36.48000000000002,6.851851851851852,2.4722222222222223,12.13888888888889,217.27777777777777,16.77777777777778,16.90740740740741,108,98595.31365487044,0.0055425818038562285,3596757.0421296754,19935.32013459969,3576821.7219950757,778745.23,0.0,3,0,1.0,0.3927237821599362
30195,157,13351359.19,2019-12-05 12:28:00,2020-12-02 15:27:00,2506,24186.14,3,13327173.049999999,0.001811511446573553,7,364,84886.45254777069,2,198720.64,1,0.0,198720.64,0.0,0.9999999999999996,1.0,36.48000000000002,7.782051282051282,2.4358974358974357,12.121794871794872,357.87179487179486,16.064102564102566,16.07051282051282,156,97932.21183400096,0.0055425818038562285,3572567.0877043568,19801.245333365805,3552765.842370991,198720.64,0.001811511446573553,9,1,1.0,0.3900825221913278
25266,54,4436805.22,2019-12-01 13:43:00,2020-12-08 10:14:00,859,4356.0,2,4432449.22,0.0009817875214274113,1,373,82082.39296296296,3,144982.86,1,0.0,144982.86,0.0,0.9999959176172225,0.9896318590059643,36.48000000000002,7.703703703703703,2.425925925925926,12.444444444444445,480.6111111111111,16.074074074074073,16.11111111111111,54,98555.71275675234,0.0055425818038562285,3558035.695471356,19720.70390319048,3538314.991568166,144982.86,0.0009817875214274113,9,1,1.0,0.38849586419609816
29856,42,12509095.49,2019-12-02 10:52:00,2020-12-07 12:45:00,1056,12209.94,2,12496885.55,0.0009760849623188863,2,372,297544.8940476191,4,1166826.5,1,0.0,1166826.5,0.0,0.9998724118282903,0.9696969696969697,19.979816030134966,7.658536585365853,0.926829268292683,11.560975609756097,1813.6097560975609,25.73170731707317,25.73170731707317,41,174365.81588379762,0.0055425818038562285,3378227.3195662173,18724.101270717718,3359503.2182954997,1166826.5,0.0009760849623188863,9,1,1.0,0.36886289354437746
29127,33,5416190.37,2019-12-09 11:58:00,2020-12-09 11:28:00,1703,0.0,0,5416190.37,0.0,0,366,164126.98090909093,1,3561.3,1,0.0,3561.3,0.0,0.9999898941717866,0.9696969696969697,15.961660270980557,8.303030303030303,3.212121212121212,12.181818181818182,633.6969696969697,44.78787878787879,51.60606060606061,33,208729.05943535554,0.0055425818038562285,3230702.870679713,17906.43494469546,3212796.4357350175,3561.3,0.0,6,0,1.0,0.352754949958212
28343,15,2818756.94,2019-12-01 11:45:00,2020-11-11 16:27:00,937,0.0,0,2818756.94,0.0,28,347,187917.12933333332,0,0.0,0,0.0,0.0,0.0,0.9966287219155422,0.9696969696969697,6.335456349831176,6.666666666666667,2.3333333333333335,13.2,887.0666666666667,61.0,62.46666666666667,15,518791.1586212248,0.0055425818038562285,3187179.3843618054,17665.20246138944,3169514.181900416,0.0,0.0,5,0,1.0,0.3480026945349671
27656,155,12710253.5,2019-12-01 11:21:00,2020-12-09 14:15:00,2208,60274.439999999995,7,12649979.06,0.00474219023247648,0,375,81612.76812903227,12,1210554.83,1,0.0,1210554.83,0.0,0.9999999999999987,1.0,36.48000000000002,6.875816993464053,2.5751633986928106,12.901960784313726,396.33986928104576,14.215686274509803,14.38562091503268,153,87141.12858658473,0.0055425818038562285,3178908.370838613,17619.359692336344,3161289.0111462763,1210554.83,0.00474219023247648,9,1,1.0,0.3470995966400921
